Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Region_California,Region_Midwestern,Region_Northeastern,Region_Southern,Region_Western
64000,110000,82100,141000,0,0,0,1,0
55000,110000,85800,174000,0,0,0,1,0
58900,106000,77400,149000,0,0,0,1,0
58300,106000,85200,137000,0,0,0,1,0
53600,104000,82800,146000,0,0,0,1,0
51200,104000,68100,147000,0,0,0,1,0
46100,104000,70500,146000,0,0,0,1,0
52700,103000,71800,146000,0,0,0,1,0
47000,97900,69600,132000,0,0,0,1,0
49700,96100,71300,131000,0,0,0,1,0
49100,95800,64400,134000,0,0,0,1,0
53500,95400,71400,124000,0,0,0,1,0
52000,95000,68300,126000,0,0,0,1,0
48600,94600,59400,151000,0,0,0,1,0
49700,93900,67400,129000,0,0,0,1,0
52000,91600,63300,128000,0,0,0,1,0
45300,90800,62400,134000,0,0,0,1,0
42400,88700,60300,120000,0,0,0,1,0
48300,88600,60700,130000,0,0,0,1,0
47100,87900,62900,120000,0,0,0,1,0
46900,87800,61300,120000,0,0,0,1,0
47800,86900,67200,114000,0,0,0,1,0
48400,86000,61800,111000,0,0,0,1,0
44100,86000,57800,118000,0,0,0,1,0
45400,84700,62700,109000,0,0,0,1,0
45900,84500,64000,119000,0,0,0,1,0
42600,83600,54100,123000,0,0,0,1,0
47200,83300,64800,112000,0,0,0,1,0
44700,82900,60300,114000,0,0,0,1,0
44100,82800,60700,113000,0,0,0,1,0
43100,82700,67800,106000,0,0,0,1,0
46900,81800,60000,109000,0,0,0,1,0
42900,81500,57500,117000,0,0,0,1,0
41300,81400,56500,117000,0,0,0,1,0
45400,80800,61200,106000,0,0,0,1,0
42800,80700,56500,114000,0,0,0,1,0
46200,80000,62600,99500,0,0,0,1,0
46000,79900,56200,106000,0,0,0,1,0
41400,79700,53500,108000,0,0,0,1,0
46500,79400,51600,114000,0,0,0,1,0
44500,79300,58800,108000,0,0,0,1,0
42800,78300,57300,107000,0,0,0,1,0
45100,78100,56600,122000,0,0,0,1,0
43100,78100,55700,106000,0,0,0,1,0
47000,77800,59100,105000,0,0,0,1,0
41100,76300,54500,107000,0,0,0,1,0
43200,75500,55800,98200,0,0,0,1,0
43800,74600,53200,106000,0,0,0,1,0
39200,74500,46100,110000,0,0,0,1,0
43100,74000,53200,99500,0,0,0,1,0
41800,74000,55300,99900,0,0,0,1,0
49500,73800,52700,95200,0,0,0,1,0
42100,73000,52800,107000,0,0,0,1,0
43400,72100,50400,99500,0,0,0,1,0
42600,71700,51500,98400,0,0,0,1,0
40000,71700,49900,98400,0,0,0,1,0
42600,71100,53000,99500,0,0,0,1,0
41100,71100,51500,98100,0,0,0,1,0
42500,70700,49800,92700,0,0,0,1,0
39200,70100,53400,91400,0,0,0,1,0
41400,69700,49100,93500,0,0,0,1,0
40400,69100,50400,90800,0,0,0,1,0
42000,68400,51900,100000,0,0,0,1,0
40200,67500,52000,98700,0,0,0,1,0
36900,66600,49500,94400,0,0,0,1,0
46700,66200,47200,88500,0,0,0,1,0
37500,64400,46600,97100,0,0,0,1,0
40000,64300,45400,80600,0,0,0,1,0
38700,63300,45300,83900,0,0,0,1,0
40800,62400,47400,80400,0,0,0,1,0
34800,60600,46500,72000,0,0,0,1,0
35400,60400,43900,80400,0,0,0,1,0
39400,60200,50300,81800,0,0,0,1,0
37700,59200,40500,73900,0,0,0,1,0
40900,57800,41800,80600,0,0,0,1,0
36900,55500,43000,87300,0,0,0,1,0
34600,54900,37100,88900,0,0,0,1,0
34500,53900,44500,76800,0,0,0,1,0
36600,51000,36800,70400,0,0,0,1,0
58000,134000,90200,234000,0,0,1,0,0
66500,131000,100000,190000,0,0,1,0,0
72200,126000,99200,168000,0,0,1,0,0
59100,126000,80600,198000,0,0,1,0,0
63400,124000,86200,179000,0,0,1,0,0
60900,120000,79200,192000,0,0,1,0,0
